y,density
7.7629,0.00358
7.774,0.0051
7.7851,0.00745
7.7962,0.01092
7.8073,0.01568
7.8185,0.0219
7.8296,0.02941
7.8407,0.03786
7.8518,0.04694
7.8629,0.05607
7.874,0.06497
7.8851,0.07332
7.8963,0.08127
7.9074,0.08956
7.9185,0.09953
7.9296,0.11331
7.9407,0.13364
7.9518,0.16377
7.963,0.20679
7.9741,0.26476
7.9852,0.33813
7.9963,0.42506
8.0074,0.5214
8.0185,0.62093
8.0296,0.71676
8.0408,0.80217
8.0519,0.87235
8.063,0.92511
8.0741,0.96079
8.0852,0.98224
8.0963,0.99322
8.1074,0.99776
8.1186,0.99905
8.1297,0.99933
8.1408,0.99966
8.1519,1.0
8.163,0.99961
8.1741,0.99714
8.1853,0.99087
8.1964,0.97922
8.2075,0.96119
8.2186,0.93688
8.2297,0.90719
8.2408,0.87387
8.2519,0.83914
8.2631,0.80514
8.2742,0.77361
8.2853,0.7456
8.2964,0.72118
8.3075,0.69973
8.3186,0.68018
8.3297,0.66164
8.3409,0.64389
8.352,0.62748
8.3631,0.61348
8.3742,0.60255
8.3853,0.5946
8.3964,0.58855
8.4075,0.58261
8.4187,0.57545
8.4298,0.56682
8.4409,0.55847
8.452,0.55355
8.4631,0.5559
8.4742,0.5685
8.4854,0.5923
8.4965,0.62557
8.5076,0.66372
8.5187,0.70046
8.5298,0.72902
8.5409,0.74364
8.552,0.74062
8.5632,0.71883
8.5743,0.67985
8.5854,0.62759
8.5965,0.5676
8.6076,0.50622
8.6187,0.44937
8.6298,0.40165
8.641,0.36552
8.6521,0.34121
8.6632,0.32687
8.6743,0.31959
8.6854,0.31629
8.6965,0.31427
8.7077,0.31175
8.7188,0.30755
8.7299,0.30083
8.741,0.29052
8.7521,0.2754
8.7632,0.25445
8.7743,0.22723
8.7855,0.19475
8.7966,0.15907
8.8077,0.12322
8.8188,0.09023
8.8299,0.06228
8.841,0.04061
8.8521,0.02504
8.8633,0.01484
