y,density
1.6874,0.00355
1.7498,0.00558
1.8121,0.00828
1.8745,0.01167
1.9368,0.01454
1.9992,0.01589
2.0615,0.01538
2.1239,0.01352
2.1862,0.01116
2.2486,0.00896
2.3109,0.00778
2.3733,0.00727
2.4356,0.00727
2.498,0.00744
2.5603,0.00761
2.6227,0.00778
2.685,0.00795
2.7474,0.00811
2.8097,0.00845
2.8721,0.00913
2.9344,0.01031
2.9968,0.012
3.0591,0.01437
3.1215,0.01691
3.1838,0.01877
3.2462,0.01978
3.3085,0.01961
3.3708,0.01927
3.4332,0.01944
3.4955,0.0213
3.5579,0.02485
3.6202,0.03009
3.6826,0.03635
3.7449,0.04294
3.8073,0.04869
3.8696,0.05325
3.932,0.05613
3.9943,0.05816
4.0567,0.06019
4.119,0.06238
4.1814,0.06492
4.2437,0.06762
4.3061,0.0705
4.3684,0.07405
4.4308,0.07844
4.4931,0.08352
4.5555,0.08994
4.6178,0.09822
4.6802,0.10955
4.7425,0.12392
4.8049,0.141
4.8672,0.1601
4.9296,0.17954
4.9919,0.19848
5.0543,0.21606
5.1166,0.23297
5.179,0.25106
5.2413,0.27185
5.3037,0.29569
5.366,0.32172
5.4283,0.34861
5.4907,0.37464
5.553,0.39915
5.6154,0.42215
5.6777,0.44514
5.7401,0.46982
5.8024,0.49907
5.8648,0.53508
5.9271,0.57921
5.9895,0.63077
6.0518,0.68639
6.1142,0.74184
6.1765,0.79341
6.2389,0.83922
6.3012,0.87946
6.3636,0.9153
6.4259,0.94725
6.4883,0.9738
6.5506,0.99222
6.613,1.0
6.6753,0.99594
6.7377,0.97921
6.8,0.94962
6.8624,0.90617
6.9247,0.84801
6.9871,0.7765
7.0494,0.69467
7.1118,0.60879
7.1741,0.52477
7.2365,0.44734
7.2988,0.37768
7.3611,0.31327
7.4235,0.25106
7.4858,0.19036
7.5482,0.1339
7.6105,0.08588
7.6729,0.04987
7.7352,0.0262
7.7976,0.01268
7.8599,0.00609
