y,density
6.7619,0.00043
6.783,0.00061
6.804,0.00092
6.825,0.00129
6.846,0.00178
6.867,0.00246
6.888,0.00325
6.9091,0.00424
6.9301,0.00553
6.9511,0.00712
6.9721,0.00915
6.9931,0.01166
7.0141,0.01486
7.0352,0.01879
7.0562,0.02351
7.0772,0.02904
7.0982,0.03536
7.1192,0.0423
7.1402,0.04948
7.1613,0.05648
7.1823,0.06311
7.2033,0.06913
7.2243,0.0749
7.2453,0.08104
7.2663,0.08859
7.2874,0.09835
7.3084,0.111
7.3294,0.12634
7.3504,0.14372
7.3714,0.16164
7.3924,0.17834
7.4135,0.19215
7.4345,0.20192
7.4555,0.20713
7.4765,0.20818
7.4975,0.20609
7.5185,0.20241
7.5396,0.19848
7.5606,0.19547
7.5816,0.19393
7.6026,0.194
7.6236,0.19516
7.6446,0.197
7.6657,0.19921
7.6867,0.20155
7.7077,0.20406
7.7287,0.20695
7.7497,0.2102
7.7707,0.21376
7.7918,0.21763
7.8128,0.22174
7.8338,0.22598
7.8548,0.23046
7.8758,0.23543
7.8968,0.24127
7.9179,0.24851
7.9389,0.2576
7.9599,0.26883
7.9809,0.28234
8.0019,0.29781
8.0229,0.31469
8.044,0.33243
8.065,0.3506
8.086,0.36896
8.107,0.38738
8.128,0.40555
8.149,0.42311
8.1701,0.43968
8.1911,0.45491
8.2121,0.46921
8.2331,0.48352
8.2541,0.49948
8.2751,0.51882
8.2962,0.54282
8.3172,0.57241
8.3382,0.60771
8.3592,0.64872
8.3802,0.69519
8.4012,0.74676
8.4223,0.80226
8.4433,0.85954
8.4643,0.91436
8.4853,0.96083
8.5063,0.99171
8.5273,1.0
8.5484,0.98017
8.5694,0.92995
8.5904,0.85113
8.6114,0.74903
8.6324,0.63208
8.6534,0.51016
8.6745,0.3926
8.6955,0.28731
8.7165,0.19928
8.7375,0.13064
8.7585,0.08073
8.7795,0.0469
8.8006,0.0256
8.8216,0.01314
8.8426,0.00632
