y,density
8.0855,0.00027
8.0947,0.00045
8.1039,0.00072
8.1131,0.001
8.1224,0.00125
8.1316,0.0014
8.1408,0.00152
8.15,0.00172
8.1592,0.00205
8.1684,0.00242
8.1776,0.0027
8.1869,0.00277
8.1961,0.00277
8.2053,0.0029
8.2145,0.00335
8.2237,0.00425
8.2329,0.0055
8.2421,0.00682
8.2513,0.008
8.2606,0.00905
8.2698,0.0104
8.279,0.01252
8.2882,0.01545
8.2974,0.01875
8.3066,0.02185
8.3158,0.02447
8.3251,0.0268
8.3343,0.02937
8.3435,0.0328
8.3527,0.03759
8.3619,0.04409
8.3711,0.05194
8.3803,0.06027
8.3895,0.06796
8.3988,0.07446
8.408,0.08026
8.4172,0.08664
8.4264,0.09476
8.4356,0.10508
8.4448,0.11706
8.454,0.12961
8.4633,0.14155
8.4725,0.15248
8.4817,0.1631
8.4909,0.1752
8.5001,0.19115
8.5093,0.21289
8.5185,0.24129
8.5277,0.27593
8.537,0.31518
8.5462,0.35665
8.5554,0.39827
8.5646,0.43926
8.5738,0.48025
8.583,0.52222
8.5922,0.56559
8.6015,0.61048
8.6107,0.65818
8.6199,0.71104
8.6291,0.76998
8.6383,0.83143
8.6475,0.88814
8.6567,0.93381
8.6659,0.96673
8.6752,0.98855
8.6844,1.0
8.6936,0.99933
8.7028,0.98475
8.712,0.95698
8.7212,0.91851
8.7304,0.87144
8.7397,0.817
8.7489,0.75696
8.7581,0.694
8.7673,0.63068
8.7765,0.56861
8.7857,0.50885
8.7949,0.45253
8.8041,0.40116
8.8134,0.3563
8.8226,0.31888
8.8318,0.28873
8.841,0.26444
8.8502,0.24389
8.8594,0.22527
8.8686,0.20707
8.8778,0.1877
8.8871,0.16538
8.8963,0.139
8.9055,0.10933
8.9147,0.07934
8.9239,0.05277
8.9331,0.03237
8.9423,0.01865
8.9516,0.01032
8.9608,0.0056
8.97,0.00297
8.9792,0.0015
8.9884,0.00075
8.9976,0.00037
