y,density
6.5428,0.00081
6.5652,0.00137
6.5876,0.00236
6.61,0.0041
6.6325,0.00683
6.6549,0.0108
6.6773,0.01595
6.6997,0.02203
6.7221,0.02849
6.7445,0.03444
6.7669,0.03916
6.7894,0.04195
6.8118,0.04245
6.8342,0.04084
6.8566,0.03773
6.879,0.03376
6.9014,0.02967
6.9239,0.02576
6.9463,0.0224
6.9687,0.01961
6.9911,0.01769
7.0135,0.01694
7.0359,0.01781
7.0584,0.02042
7.0808,0.02476
7.1032,0.03004
7.1256,0.03525
7.148,0.03935
7.1704,0.04158
7.1929,0.04195
7.2153,0.0414
7.2377,0.04115
7.2601,0.04239
7.2825,0.04599
7.3049,0.05195
7.3274,0.05946
7.3498,0.0674
7.3722,0.0746
7.3946,0.08043
7.417,0.08509
7.4394,0.08924
7.4619,0.09384
7.4843,0.09899
7.5067,0.10395
7.5291,0.10743
7.5515,0.10805
7.5739,0.10532
7.5964,0.09967
7.6188,0.09216
7.6412,0.08403
7.6636,0.0764
7.686,0.06994
7.7084,0.06523
7.7309,0.06268
7.7533,0.06287
7.7757,0.06641
7.7981,0.07416
7.8205,0.0872
7.8429,0.1065
7.8654,0.13306
7.8878,0.168
7.9102,0.21231
7.9326,0.26618
7.955,0.32824
7.9774,0.39459
7.9998,0.45919
8.0223,0.51561
8.0447,0.55874
8.0671,0.5871
8.0895,0.60256
8.1119,0.60926
8.1343,0.61137
8.1568,0.61211
8.1792,0.61416
8.2016,0.62024
8.224,0.63365
8.2464,0.65785
8.2688,0.69466
8.2913,0.74263
8.3137,0.79675
8.3361,0.8495
8.3585,0.89406
8.3809,0.92714
8.4033,0.95023
8.4258,0.96773
8.4482,0.98324
8.4706,0.99603
8.493,1.0
8.5154,0.98591
8.5378,0.94495
8.5603,0.87215
8.5827,0.76857
8.6051,0.64135
8.6275,0.5027
8.6499,0.36734
8.6723,0.24843
8.6948,0.1546
8.7172,0.088
8.7396,0.04574
8.762,0.02166
