y,density
7.2042,0.00398
7.2168,0.0057
7.2295,0.00844
7.2421,0.01229
7.2547,0.01736
7.2674,0.0232
7.28,0.02938
7.2926,0.03493
7.3053,0.03933
7.3179,0.042
7.3306,0.04303
7.3432,0.04283
7.3558,0.042
7.3685,0.04125
7.3811,0.04097
7.3937,0.04159
7.4064,0.04317
7.419,0.04598
7.4316,0.05045
7.4443,0.05683
7.4569,0.06548
7.4695,0.07646
7.4822,0.08998
7.4948,0.10604
7.5074,0.1245
7.5201,0.14544
7.5327,0.1687
7.5453,0.19417
7.558,0.22169
7.5706,0.25065
7.5832,0.2803
7.5959,0.3094
7.6085,0.33686
7.6211,0.36218
7.6338,0.38579
7.6464,0.4092
7.659,0.43445
7.6717,0.46335
7.6843,0.4965
7.6969,0.53301
7.7096,0.57076
7.7222,0.60693
7.7348,0.63946
7.7475,0.66747
7.7601,0.69142
7.7727,0.71311
7.7854,0.73459
7.798,0.75779
7.8107,0.7836
7.8233,0.81215
7.8359,0.84269
7.8486,0.87371
7.8612,0.90343
7.8738,0.92917
7.8865,0.94832
7.8991,0.9582
7.9117,0.95745
7.9244,0.94612
7.937,0.92642
7.9496,0.90213
7.9623,0.87804
7.9749,0.85923
7.9875,0.8499
8.0002,0.85285
8.0128,0.8687
8.0254,0.89554
8.0381,0.92869
8.0507,0.96156
8.0633,0.98723
8.076,1.0
8.0886,0.99732
8.1012,0.9801
8.1139,0.95244
8.1265,0.91997
8.1391,0.88813
8.1518,0.86108
8.1644,0.84104
8.177,0.82876
8.1897,0.82388
8.2023,0.82581
8.2149,0.83356
8.2276,0.84619
8.2402,0.8628
8.2528,0.88243
8.2655,0.90453
8.2781,0.92773
8.2908,0.9488
8.3034,0.96191
8.316,0.95841
8.3287,0.92883
8.3413,0.86644
8.3539,0.77062
8.3666,0.64839
8.3792,0.51283
8.3918,0.37962
8.4045,0.26211
8.4171,0.1685
8.4297,0.10089
8.4424,0.05635
8.455,0.02965
