y,density
0.7107,0.13284
0.8112,0.17892
0.9118,0.23585
1.0123,0.30295
1.1128,0.38021
1.2133,0.4656
1.3138,0.55642
1.4144,0.64893
1.5149,0.73873
1.6154,0.8204
1.7159,0.88953
1.8164,0.94138
1.917,0.97221
2.0175,0.98001
2.118,0.96408
2.2185,0.92579
2.319,0.8675
2.4196,0.79329
2.5201,0.7079
2.6206,0.61674
2.7211,0.52423
2.8216,0.43511
2.9222,0.35242
3.0227,0.27855
3.1232,0.21484
3.2237,0.16164
3.3242,0.11894
3.4248,0.08539
3.5253,0.05964
3.6258,0.04066
3.7263,0.02711
3.8268,0.01762
3.9274,0.01118
4.0279,0.00712
4.1284,0.00407
4.2289,0.00237
4.3295,0.00136
4.43,0.00068
4.5305,0.00034
4.631,0.00034
4.7315,0.0
4.8321,0.0
4.9326,0.0
5.0331,0.0
5.1336,0.0
5.2341,0.0
5.3347,0.0
5.4352,0.0
5.5357,0.0
5.6362,0.0
5.7367,0.0
5.8373,0.0
5.9378,0.0
6.0383,0.0
6.1388,0.00034
6.2393,0.00034
6.3399,0.00068
6.4404,0.00136
6.5409,0.00237
6.6414,0.00373
6.7419,0.00644
6.8425,0.00983
6.943,0.01559
7.0435,0.02338
7.144,0.0349
7.2445,0.05083
7.3451,0.07218
7.4456,0.09997
7.5461,0.13589
7.6466,0.18062
7.7472,0.23484
7.8477,0.29888
7.9482,0.37174
8.0487,0.45239
8.1492,0.5388
8.2498,0.62792
8.3503,0.71569
8.4508,0.79871
8.5513,0.87225
8.6518,0.93223
8.7524,0.97492
8.8529,0.99797
8.9534,1.0
9.0539,0.98035
9.1544,0.94104
9.255,0.88411
9.3555,0.81294
9.456,0.73162
9.5565,0.64419
9.657,0.5554
9.7576,0.46865
9.8581,0.38699
9.9586,0.31244
10.0591,0.24703
10.1596,0.19112
10.2602,0.1447
10.3607,0.10708
10.4612,0.0776
10.5617,0.05524
10.6622,0.03829
