y,density
5.7482,0.00078
5.781,0.00121
5.8138,0.00192
5.8466,0.00313
5.8793,0.00499
5.9121,0.00762
5.9449,0.01111
5.9777,0.01531
6.0104,0.02002
6.0432,0.02486
6.076,0.02942
6.1088,0.03341
6.1416,0.03661
6.1743,0.03911
6.2071,0.04103
6.2399,0.04252
6.2727,0.04374
6.3055,0.04452
6.3382,0.04466
6.371,0.04388
6.4038,0.04195
6.4366,0.03882
6.4693,0.03469
6.5021,0.03006
6.5349,0.02543
6.5677,0.02123
6.6005,0.01802
6.6332,0.01617
6.666,0.01574
6.6988,0.01695
6.7316,0.01973
6.7644,0.02393
6.7971,0.02935
6.8299,0.03562
6.8627,0.04217
6.8955,0.04844
6.9282,0.05406
6.961,0.05869
6.9938,0.06247
7.0266,0.06567
7.0594,0.06888
7.0921,0.07301
7.1249,0.07878
7.1577,0.08662
7.1905,0.09666
7.2233,0.10841
7.256,0.12088
7.2888,0.13284
7.3216,0.14324
7.3544,0.15144
7.3871,0.15735
7.4199,0.16162
7.4527,0.16525
7.4855,0.16931
7.5183,0.17466
7.551,0.18142
7.5838,0.1894
7.6166,0.19795
7.6494,0.20614
7.6822,0.21298
7.7149,0.21796
7.7477,0.2206
7.7805,0.22103
7.8133,0.21974
7.846,0.21775
7.8788,0.21625
7.9116,0.21633
7.9444,0.21896
7.9772,0.22473
8.0099,0.23328
8.0427,0.24396
8.0755,0.25586
8.1083,0.26797
8.1411,0.28001
8.1738,0.29226
8.2066,0.30579
8.2394,0.32189
8.2722,0.34219
8.3049,0.36797
8.3377,0.4006
8.3705,0.44091
8.4033,0.48999
8.4361,0.54861
8.4688,0.61707
8.5016,0.69478
8.5344,0.77876
8.5672,0.86274
8.5999,0.93646
8.6327,0.98675
8.6655,1.0
8.6983,0.96681
8.7311,0.88539
8.7638,0.76373
8.7966,0.61757
8.8294,0.46656
8.8622,0.32837
8.895,0.21483
8.9277,0.13049
8.9605,0.07351
8.9933,0.03839
