y,density
7.2155,0.00139
7.2339,0.0019
7.2523,0.00267
7.2707,0.00385
7.2891,0.00544
7.3075,0.00755
7.3259,0.01017
7.3443,0.01325
7.3627,0.01684
7.3811,0.0209
7.3996,0.02547
7.418,0.0305
7.4364,0.03615
7.4548,0.04236
7.4732,0.04925
7.4916,0.05669
7.51,0.06465
7.5284,0.07307
7.5468,0.0819
7.5652,0.0911
7.5836,0.1006
7.602,0.1103
7.6205,0.11995
7.6389,0.12899
7.6573,0.13695
7.6757,0.14322
7.6941,0.14738
7.7125,0.14943
7.7309,0.14948
7.7493,0.14815
7.7677,0.14609
7.7861,0.14404
7.8045,0.1425
7.8229,0.14188
7.8414,0.14239
7.8598,0.14399
7.8782,0.14666
7.8966,0.15035
7.915,0.15498
7.9334,0.16052
7.9518,0.16699
7.9702,0.17423
7.9886,0.18214
8.007,0.19056
8.0254,0.19909
8.0438,0.20746
8.0623,0.21526
8.0807,0.22214
8.0991,0.22769
8.1175,0.23159
8.1359,0.23364
8.1543,0.2337
8.1727,0.23185
8.1911,0.22841
8.2095,0.22379
8.2279,0.21855
8.2463,0.21341
8.2647,0.209
8.2832,0.20586
8.3016,0.20448
8.32,0.20499
8.3384,0.20751
8.3568,0.21177
8.3752,0.21762
8.3936,0.22492
8.412,0.23364
8.4304,0.24407
8.4488,0.25655
8.4672,0.2717
8.4857,0.29008
8.5041,0.31216
8.5225,0.33825
8.5409,0.36823
8.5593,0.40192
8.5777,0.43864
8.5961,0.47746
8.6145,0.51741
8.6329,0.55772
8.6513,0.59798
8.6697,0.63849
8.6881,0.6805
8.7066,0.72558
8.725,0.77503
8.7434,0.82895
8.7618,0.88497
8.7802,0.93781
8.7986,0.97931
8.817,1.0
8.8354,0.99117
8.8538,0.94737
8.8722,0.86854
8.8906,0.7604
8.909,0.63361
8.9275,0.50113
8.9459,0.37547
8.9643,0.26605
8.9827,0.17813
9.0011,0.11261
9.0195,0.06722
9.0379,0.03795
