y,density
1.7951,7e-05
1.8596,0.00021
1.924,0.00042
1.9884,0.00055
2.0529,0.00048
2.1173,0.00028
2.1817,0.00014
2.2462,0.0
2.3106,0.0
2.375,0.0
2.4395,0.0
2.5039,0.0
2.5683,0.0
2.6328,0.0
2.6972,0.0
2.7616,7e-05
2.8261,0.00021
2.8905,0.00048
2.9549,0.00104
3.0194,0.00152
3.0838,0.00166
3.1482,0.00139
3.2127,0.00097
3.2771,0.00076
3.3415,0.00062
3.406,0.00048
3.4704,0.00035
3.5348,0.00048
3.5993,0.00062
3.6637,0.00069
3.7281,0.00062
3.7926,0.00062
3.857,0.00069
3.9214,0.00062
3.9858,0.00062
4.0503,0.00062
4.1147,0.00062
4.1791,0.00042
4.2436,0.00021
4.308,0.00014
4.3724,0.00021
4.4369,0.00042
4.5013,0.00062
4.5657,0.00076
4.6302,0.00097
4.6946,0.00118
4.759,0.00125
4.8235,0.00111
4.8879,0.00111
4.9523,0.0018
5.0168,0.00346
5.0812,0.00603
5.1456,0.00859
5.2101,0.01025
5.2745,0.01101
5.3389,0.01212
5.4034,0.01469
5.4678,0.01787
5.5322,0.0203
5.5967,0.02127
5.6611,0.0214
5.7255,0.02161
5.79,0.02217
5.8544,0.02307
5.9188,0.02466
5.9833,0.02736
6.0477,0.03152
6.1121,0.03644
6.1766,0.04052
6.241,0.04329
6.3054,0.04773
6.3699,0.05715
6.4343,0.07066
6.4987,0.0834
6.5632,0.09026
6.6276,0.0904
6.692,0.08874
6.7565,0.09393
6.8209,0.11264
6.8853,0.14104
6.9498,0.16639
7.0142,0.17997
7.0786,0.18835
7.1431,0.20726
7.2075,0.24605
7.2719,0.30085
7.3364,0.36049
7.4008,0.41674
7.4652,0.46744
7.5297,0.51773
7.5941,0.58236
7.6585,0.67609
7.723,0.79884
7.7874,0.92796
7.8518,1.0
7.9162,0.91992
7.9807,0.66535
8.0451,0.35647
8.1095,0.13646
8.174,0.03658
