y,density
3.0364,9e-05
3.0786,0.00033
3.1208,0.00066
3.163,0.00071
3.2052,0.00052
3.2474,0.00052
3.2896,0.00094
3.3318,0.00141
3.374,0.00127
3.4162,0.00066
3.4584,0.00019
3.5006,5e-05
3.5428,0.0
3.585,0.0
3.6272,0.0
3.6694,0.0
3.7117,0.0
3.7539,0.0
3.7961,0.0
3.8383,0.0
3.8805,0.0
3.9227,0.0
3.9649,0.0
4.0071,0.0
4.0493,0.0
4.0915,0.0
4.1337,9e-05
4.1759,0.00033
4.2181,0.00066
4.2603,0.00075
4.3025,0.00057
4.3447,0.00052
4.3869,0.00071
4.4291,0.00071
4.4713,0.00042
4.5135,0.00014
4.5557,5e-05
4.5979,0.0
4.6401,0.0
4.6824,0.0
4.7246,0.0
4.7668,0.0
4.809,5e-05
4.8512,0.00014
4.8934,0.00042
4.9356,0.00071
4.9778,0.00071
5.02,0.00047
5.0622,0.00047
5.1044,0.0009
5.1466,0.00132
5.1888,0.00137
5.231,0.00118
5.2732,0.00122
5.3154,0.00137
5.3576,0.00127
5.3998,0.00104
5.442,0.00099
5.4842,0.00099
5.5264,0.00122
5.5686,0.00203
5.6108,0.0032
5.6531,0.00415
5.6953,0.00438
5.7375,0.00443
5.7797,0.00561
5.8219,0.00862
5.8641,0.01347
5.9063,0.01898
5.9485,0.02478
5.9907,0.03283
6.0329,0.04423
6.0751,0.05667
6.1173,0.06797
6.1595,0.07857
6.2017,0.09082
6.2439,0.10853
6.2861,0.13463
6.3283,0.16628
6.3705,0.20039
6.4127,0.24052
6.4549,0.28796
6.4971,0.33247
6.5393,0.36342
6.5816,0.38217
6.6238,0.39936
6.666,0.42164
6.7082,0.44745
6.7504,0.47341
6.7926,0.49366
6.8348,0.50954
6.877,0.53554
6.9192,0.58656
6.9614,0.68364
7.0036,0.84907
7.0458,1.0
7.088,0.91969
7.1302,0.57214
7.1724,0.22347
7.2146,0.05285
