y,density
7.9817,0.00238
7.9934,0.00345
8.0052,0.00527
8.0169,0.00811
8.0287,0.01232
8.0405,0.01825
8.0522,0.0261
8.064,0.03593
8.0757,0.04759
8.0875,0.06046
8.0993,0.07374
8.111,0.08641
8.1228,0.09741
8.1346,0.10587
8.1463,0.1116
8.1581,0.11469
8.1698,0.11596
8.1816,0.11626
8.1934,0.11652
8.2051,0.11713
8.2169,0.11819
8.2287,0.11941
8.2404,0.12042
8.2522,0.12108
8.2639,0.12153
8.2757,0.12219
8.2875,0.12346
8.2992,0.12564
8.311,0.12873
8.3228,0.13258
8.3345,0.13699
8.3463,0.14226
8.358,0.14905
8.3698,0.15863
8.3816,0.17242
8.3933,0.19193
8.4051,0.21813
8.4169,0.25108
8.4286,0.28965
8.4404,0.33176
8.4521,0.37464
8.4639,0.41539
8.4757,0.45157
8.4874,0.48178
8.4992,0.5057
8.5109,0.52405
8.5227,0.53829
8.5345,0.55025
8.5462,0.56186
8.558,0.57458
8.5698,0.58933
8.5815,0.606
8.5933,0.62364
8.605,0.64072
8.6168,0.65542
8.6286,0.66616
8.6403,0.67189
8.6521,0.67204
8.6639,0.66672
8.6756,0.65643
8.6874,0.64204
8.6991,0.62485
8.7109,0.60661
8.7227,0.58892
8.7344,0.57336
8.7462,0.56115
8.758,0.55324
8.7697,0.55086
8.7815,0.55583
8.7932,0.57017
8.805,0.59602
8.8168,0.63413
8.8285,0.68314
8.8403,0.73929
8.852,0.79677
8.8638,0.84917
8.8756,0.89124
8.8873,0.92033
8.8991,0.937
8.9109,0.9445
8.9226,0.9478
8.9344,0.95185
8.9461,0.96016
8.9579,0.97339
8.9697,0.98875
8.9814,1.0
8.9932,0.99843
9.005,0.97481
9.0167,0.92246
9.0285,0.83944
9.0402,0.72982
9.052,0.60326
9.0638,0.4722
9.0755,0.34904
9.0873,0.24317
9.0991,0.1595
9.1108,0.09842
9.1226,0.05722
9.1343,0.03147
9.1461,0.01652
