y,density
6.4662,0.00027
6.482,0.00036
6.4977,0.00054
6.5134,0.00072
6.5292,0.0009
6.5449,0.00104
6.5606,0.00104
6.5763,0.00095
6.5921,0.00081
6.6078,0.00068
6.6235,0.00068
6.6393,0.00077
6.655,0.00099
6.6707,0.00126
6.6864,0.00167
6.7022,0.00216
6.7179,0.00279
6.7336,0.00365
6.7494,0.00464
6.7651,0.00567
6.7808,0.00667
6.7965,0.00752
6.8123,0.00829
6.828,0.0091
6.8437,0.01004
6.8595,0.01135
6.8752,0.01324
6.8909,0.01594
6.9066,0.01977
6.9224,0.02473
6.9381,0.03067
6.9538,0.03734
6.9696,0.0445
6.9853,0.05234
7.001,0.06094
7.0167,0.07071
7.0325,0.08175
7.0482,0.09422
7.0639,0.10827
7.0797,0.12404
7.0954,0.14174
7.1111,0.16155
7.1268,0.18367
7.1426,0.20794
7.1583,0.23384
7.174,0.26051
7.1898,0.28694
7.2055,0.31217
7.2212,0.33541
7.2369,0.35648
7.2527,0.37581
7.2684,0.39432
7.2841,0.41296
7.2999,0.43215
7.3156,0.45174
7.3313,0.4712
7.347,0.49065
7.3628,0.51047
7.3785,0.53078
7.3942,0.55051
7.41,0.5674
7.4257,0.57893
7.4414,0.58361
7.4571,0.58199
7.4729,0.57614
7.4886,0.56835
7.5043,0.56006
7.5201,0.55101
7.5358,0.53993
7.5515,0.52542
7.5672,0.50732
7.583,0.48692
7.5987,0.46759
7.6144,0.45444
7.6302,0.45368
7.6459,0.47133
7.6616,0.51155
7.6773,0.57461
7.6931,0.65644
7.7088,0.74891
7.7245,0.84119
7.7403,0.92136
7.756,0.97771
7.7717,1.0
7.7874,0.98144
7.8032,0.92073
7.8189,0.82313
7.8346,0.69986
7.8504,0.56519
7.8661,0.43296
7.8818,0.31383
7.8975,0.21439
7.9133,0.13737
7.929,0.08206
7.9447,0.04553
7.9605,0.02338
7.9762,0.01112
7.9919,0.00491
8.0076,0.00203
8.0234,0.00081
