y,density
1.7771,0.00025
1.8423,0.00059
1.9076,0.00126
1.9729,0.00177
2.0382,0.00193
2.1035,0.0016
2.1687,0.00092
2.234,0.00042
2.2993,0.00017
2.3646,8e-05
2.4299,0.00017
2.4952,0.00025
2.5604,0.0005
2.6257,0.00076
2.691,0.00092
2.7563,0.00101
2.8216,0.00092
2.8868,0.00092
2.9521,0.00084
3.0174,0.00101
3.0827,0.00151
3.148,0.0021
3.2132,0.00235
3.2785,0.00219
3.3438,0.00168
3.4091,0.00118
3.4744,0.00118
3.5397,0.00151
3.6049,0.00193
3.6702,0.00244
3.7355,0.00303
3.8008,0.00345
3.8661,0.0037
3.9313,0.0037
3.9966,0.0037
4.0619,0.00395
4.1272,0.00429
4.1925,0.00412
4.2578,0.00328
4.323,0.00227
4.3883,0.00177
4.4536,0.00219
4.5189,0.00328
4.5842,0.00488
4.6494,0.00656
4.7147,0.00816
4.78,0.00967
4.8453,0.01085
4.9106,0.01169
4.9758,0.01211
5.0411,0.01211
5.1064,0.01202
5.1717,0.01211
5.237,0.01245
5.3023,0.01329
5.3675,0.0148
5.4328,0.01724
5.4981,0.02027
5.5634,0.0238
5.6287,0.02783
5.6939,0.03246
5.7592,0.03776
5.8245,0.04381
5.8898,0.05079
5.9551,0.05836
6.0203,0.06576
6.0856,0.07198
6.1509,0.07652
6.2162,0.0814
6.2815,0.0893
6.3468,0.10057
6.412,0.11302
6.4773,0.12395
6.5426,0.13295
6.6079,0.14136
6.6732,0.15128
6.7384,0.16414
6.8037,0.18071
6.869,0.20341
6.9343,0.2368
6.9996,0.28582
7.0648,0.35343
7.1301,0.43845
7.1954,0.53599
7.2607,0.64035
7.326,0.74672
7.3913,0.84923
7.4565,0.93744
7.5218,0.99479
7.5871,1.0
7.6524,0.93702
7.7177,0.80701
7.7829,0.63059
7.8482,0.44021
7.9135,0.26951
7.9788,0.14152
8.0441,0.06231
8.1093,0.02245
8.1746,0.00647
8.2399,0.00151
