y,density
1.4099,0.01697
1.4834,0.02698
1.557,0.04047
1.6305,0.0571
1.7041,0.07565
1.7776,0.0942
1.8512,0.11016
1.9247,0.12107
1.9983,0.12511
2.0718,0.1214
2.1453,0.11084
2.2189,0.09499
2.2924,0.07655
2.366,0.058
2.4395,0.04125
2.5131,0.02754
2.5866,0.01731
2.6602,0.01023
2.7337,0.00573
2.8073,0.00292
2.8808,0.00146
2.9544,0.00067
3.0279,0.00034
3.1015,0.00011
3.175,0.0
3.2486,0.0
3.3221,0.0
3.3957,0.0
3.4692,0.0
3.5428,0.0
3.6163,0.0
3.6899,0.0
3.7634,0.0
3.8369,0.0
3.9105,0.0
3.984,0.0
4.0576,0.0
4.1311,0.0
4.2047,0.0
4.2782,0.0
4.3518,0.00011
4.4253,0.00011
4.4989,0.00034
4.5724,0.00045
4.646,0.00079
4.7195,0.00112
4.7931,0.00169
4.8666,0.00236
4.9402,0.00315
5.0137,0.00405
5.0873,0.00495
5.1608,0.00596
5.2344,0.00686
5.3079,0.00753
5.3815,0.00809
5.455,0.00843
5.5285,0.00843
5.6021,0.00832
5.6756,0.00798
5.7492,0.00753
5.8227,0.00719
5.8963,0.00708
5.9698,0.00731
6.0434,0.00821
6.1169,0.00978
6.1905,0.01237
6.264,0.01641
6.3376,0.02214
6.4111,0.03035
6.4847,0.04159
6.5582,0.0571
6.6318,0.07779
6.7053,0.1051
6.7789,0.14051
6.8524,0.18548
6.926,0.24146
6.9995,0.30946
7.073,0.38973
7.1466,0.48112
7.2201,0.58105
7.2937,0.68491
7.3672,0.78608
7.4408,0.87635
7.5143,0.94705
7.5879,0.99022
7.6614,1.0
7.735,0.97358
7.8085,0.91232
7.8821,0.82183
7.9556,0.71032
8.0292,0.58847
8.1027,0.4665
8.1763,0.35342
8.2498,0.25562
8.3234,0.17626
8.3969,0.11567
8.4705,0.07228
8.544,0.04283
8.6176,0.02417
8.6911,0.01293
