y,density
2.9862,9e-05
3.0479,0.00028
3.1097,0.00056
3.1715,0.00075
3.2333,0.00085
3.2951,0.00085
3.3569,0.00085
3.4187,0.00085
3.4804,0.00075
3.5422,0.00056
3.604,0.00028
3.6658,9e-05
3.7276,0.0
3.7894,0.0
3.8512,0.0
3.9129,9e-05
3.9747,0.00019
4.0365,0.00047
4.0983,0.00066
4.1601,0.00085
4.2219,0.00085
4.2836,0.00085
4.3454,0.00094
4.4072,0.00122
4.469,0.00131
4.5308,0.00141
4.5926,0.00141
4.6544,0.0015
4.7161,0.0016
4.7779,0.00169
4.8397,0.00169
4.9015,0.00169
4.9633,0.0016
5.0251,0.00178
5.0869,0.00216
5.1486,0.00254
5.2104,0.00272
5.2722,0.00244
5.334,0.00197
5.3958,0.00141
5.4576,0.00113
5.5193,0.00094
5.5811,0.00103
5.6429,0.00122
5.7047,0.0016
5.7665,0.00178
5.8283,0.00216
5.8901,0.00329
5.9518,0.00582
6.0136,0.01042
6.0754,0.01719
6.1372,0.02526
6.199,0.03287
6.2608,0.0385
6.3225,0.04217
6.3843,0.04536
6.4461,0.05024
6.5079,0.05616
6.5697,0.06029
6.6315,0.06123
6.6933,0.06151
6.755,0.06527
6.8168,0.07391
6.8786,0.08631
6.9404,0.10105
7.0022,0.11523
7.064,0.12322
7.1258,0.12002
7.1875,0.10847
7.2493,0.09748
7.3111,0.09504
7.3729,0.10218
7.4347,0.11542
7.4965,0.13214
7.5582,0.15552
7.62,0.19234
7.6818,0.24709
7.7436,0.31677
7.8054,0.39294
7.8672,0.46628
7.929,0.52846
7.9907,0.57297
8.0525,0.59927
8.1143,0.61608
8.1761,0.63805
8.2379,0.68107
8.2997,0.75563
8.3615,0.85387
8.4232,0.94713
8.485,1.0
8.5468,0.98582
8.6086,0.8951
8.6704,0.74277
8.7322,0.56029
8.7939,0.37885
8.8557,0.22286
8.9175,0.11016
8.9793,0.04442
9.0411,0.01427
9.1029,0.00357
