y,density
4.1753,0.00066
4.2136,0.00099
4.2519,0.00165
4.2902,0.00231
4.3284,0.00264
4.3667,0.00253
4.405,0.00209
4.4432,0.00154
4.4815,0.00132
4.5198,0.00132
4.558,0.00154
4.5963,0.00187
4.6346,0.0022
4.6728,0.00242
4.7111,0.00264
4.7494,0.00276
4.7876,0.00264
4.8259,0.00242
4.8642,0.00231
4.9024,0.00253
4.9407,0.00309
4.979,0.00364
5.0173,0.00386
5.0555,0.00386
5.0938,0.00375
5.1321,0.00419
5.1703,0.0054
5.2086,0.00705
5.2469,0.00915
5.2851,0.01124
5.3234,0.013
5.3617,0.014
5.3999,0.01389
5.4382,0.01289
5.4765,0.01168
5.5147,0.01091
5.553,0.01124
5.5913,0.01267
5.6295,0.01554
5.6678,0.01962
5.7061,0.02491
5.7444,0.03108
5.7826,0.03835
5.8209,0.0464
5.8592,0.05466
5.8974,0.0616
5.9357,0.06612
5.974,0.06855
6.0122,0.07086
6.0505,0.07483
6.0888,0.08199
6.127,0.09257
6.1653,0.10668
6.2036,0.12431
6.2418,0.14569
6.2801,0.17115
6.3184,0.20068
6.3566,0.23385
6.3949,0.26989
6.4332,0.30824
6.4715,0.34891
6.5097,0.39167
6.548,0.43498
6.5863,0.47763
6.6245,0.52028
6.6628,0.56447
6.7011,0.61087
6.7393,0.65792
6.7776,0.70498
6.8159,0.75325
6.8541,0.80384
6.8924,0.85519
6.9307,0.90214
6.9689,0.93917
7.0072,0.96341
7.0455,0.9773
7.0837,0.98655
7.122,0.99471
7.1603,1.0
7.1986,0.99769
7.2368,0.98468
7.2751,0.96253
7.3134,0.93377
7.3516,0.89839
7.3899,0.85354
7.4282,0.79866
7.4664,0.73738
7.5047,0.67677
7.543,0.62387
7.5812,0.58431
7.6195,0.55753
7.6578,0.53196
7.696,0.48744
7.7343,0.40985
7.7726,0.30428
7.8108,0.1944
7.8491,0.10514
7.8874,0.04772
7.9257,0.01807
7.9639,0.00584
