y,density
4.333,0.00034
4.3806,0.00057
4.4281,0.00092
4.4757,0.00138
4.5232,0.00184
4.5708,0.00218
4.6183,0.0023
4.6659,0.00218
4.7134,0.00218
4.761,0.00218
4.8085,0.0023
4.8561,0.00241
4.9036,0.00264
4.9512,0.00299
4.9987,0.00333
5.0463,0.00368
5.0938,0.00391
5.1414,0.00402
5.189,0.00437
5.2365,0.00517
5.2841,0.00644
5.3316,0.00793
5.3792,0.00908
5.4267,0.00977
5.4743,0.01023
5.5218,0.01034
5.5694,0.01023
5.6169,0.01011
5.6645,0.00989
5.712,0.00966
5.7596,0.00966
5.8071,0.01023
5.8547,0.01161
5.9022,0.01379
5.9498,0.01644
5.9973,0.01885
6.0449,0.02011
6.0925,0.02023
6.14,0.01977
6.1876,0.0192
6.2351,0.01862
6.2827,0.01805
6.3302,0.01713
6.3778,0.01598
6.4253,0.01471
6.4729,0.01368
6.5204,0.01356
6.568,0.01471
6.6155,0.01724
6.6631,0.02126
6.7106,0.02586
6.7582,0.03057
6.8057,0.03471
6.8533,0.03897
6.9009,0.04448
6.9484,0.05172
6.996,0.05966
7.0435,0.06655
7.0911,0.07322
7.1386,0.08172
7.1862,0.09402
7.2337,0.10908
7.2813,0.12471
7.3288,0.14069
7.3764,0.16
7.4239,0.18713
7.4715,0.22563
7.519,0.27644
7.5666,0.33494
7.6141,0.39322
7.6617,0.44448
7.7092,0.48678
7.7568,0.52506
7.8044,0.56862
7.8519,0.62552
7.8995,0.69414
7.947,0.76264
7.9946,0.81667
8.0421,0.85
8.0897,0.86747
8.1372,0.88023
8.1848,0.89931
8.2323,0.93
8.2799,0.96655
8.3274,0.99471
8.375,1.0
8.4225,0.97805
8.4701,0.93828
8.5176,0.8992
8.5652,0.87828
8.6127,0.87828
8.6603,0.87793
8.7079,0.83759
8.7554,0.72667
8.803,0.55138
8.8505,0.35632
8.8981,0.19264
8.9456,0.08632
8.9932,0.03172
9.0407,0.00966
