y,density
6.3471,0.00049
6.3683,0.00071
6.3894,0.00109
6.4106,0.00169
6.4318,0.00246
6.4529,0.00339
6.4741,0.00443
6.4953,0.00563
6.5164,0.00694
6.5376,0.0083
6.5588,0.00989
6.5799,0.01164
6.6011,0.01366
6.6223,0.01584
6.6434,0.01825
6.6646,0.02081
6.6858,0.02349
6.7069,0.02617
6.7281,0.02879
6.7493,0.03125
6.7704,0.03354
6.7916,0.03556
6.8128,0.03742
6.8339,0.03906
6.8551,0.04054
6.8763,0.04196
6.8974,0.04332
6.9186,0.04485
6.9398,0.04682
6.9609,0.04966
6.9821,0.05381
7.0033,0.05971
7.0244,0.06763
7.0456,0.07752
7.0668,0.08888
7.0879,0.10079
7.1091,0.11232
7.1303,0.12243
7.1514,0.13062
7.1726,0.13679
7.1938,0.14122
7.2149,0.1445
7.2361,0.14728
7.2573,0.15023
7.2784,0.154
7.2996,0.15908
7.3208,0.16597
7.3419,0.17492
7.3631,0.18596
7.3843,0.1988
7.4054,0.21295
7.4266,0.22753
7.4478,0.24157
7.4689,0.25408
7.4901,0.26452
7.5113,0.27271
7.5324,0.27894
7.5536,0.28364
7.5748,0.28741
7.5959,0.29101
7.6171,0.29522
7.6383,0.30096
7.6594,0.30904
7.6806,0.32013
7.7018,0.33466
7.7229,0.35242
7.7441,0.37274
7.7653,0.39426
7.7864,0.41541
7.8076,0.43491
7.8288,0.45228
7.8499,0.46823
7.8711,0.48446
7.8923,0.50303
7.9135,0.52652
7.9346,0.55755
7.9558,0.5988
7.977,0.65244
7.9981,0.71877
8.0193,0.79437
8.0405,0.87146
8.0616,0.93881
8.0828,0.98459
8.104,1.0
8.1251,0.98192
8.1463,0.93324
8.1675,0.86064
8.1886,0.77143
8.2098,0.67162
8.231,0.56558
8.2521,0.45753
8.2733,0.35253
8.2945,0.25649
8.3156,0.17487
8.3368,0.11106
8.358,0.06539
8.3791,0.03562
8.4003,0.01792
8.4215,0.00836
8.4426,0.00366
