y,density
0.718,0.10921
0.8191,0.1477
0.9201,0.19507
1.0212,0.25132
1.1222,0.31579
1.2233,0.38717
1.3243,0.46283
1.4254,0.5398
1.5265,0.61382
1.6275,0.68125
1.7286,0.7375
1.8296,0.77862
1.9307,0.80197
2.0317,0.80559
2.1328,0.78947
2.2338,0.75461
2.3349,0.70362
2.436,0.64013
2.537,0.56776
2.6381,0.49145
2.7391,0.4148
2.8402,0.34178
2.9412,0.27434
3.0423,0.21513
3.1433,0.16447
3.2444,0.1227
3.3455,0.08914
3.4465,0.06316
3.5476,0.04375
3.6486,0.02961
3.7497,0.01941
3.8507,0.0125
3.9518,0.00789
4.0529,0.00493
4.1539,0.00296
4.255,0.00164
4.356,0.00099
4.4571,0.00066
4.5581,0.00033
4.6592,0.0
4.7602,0.0
4.8613,0.0
4.9624,0.0
5.0634,0.0
5.1645,0.0
5.2655,0.0
5.3666,0.0
5.4676,0.0
5.5687,0.0
5.6697,0.0
5.7708,0.00033
5.8719,0.00033
5.9729,0.00066
6.074,0.00099
6.175,0.00132
6.2761,0.0023
6.3771,0.00362
6.4782,0.00559
6.5792,0.00855
6.6803,0.01283
6.7814,0.01875
6.8824,0.02697
6.9835,0.03783
7.0845,0.05197
7.1856,0.07039
7.2866,0.09342
7.3877,0.12171
7.4887,0.15625
7.5898,0.19671
7.6909,0.24408
7.7919,0.29803
7.893,0.35822
7.994,0.42401
8.0951,0.49441
8.1961,0.56809
8.2972,0.64342
8.3983,0.71776
8.4993,0.78882
8.6004,0.85395
8.7014,0.9102
8.8025,0.95493
8.9035,0.98553
9.0046,1.0
9.1056,0.99704
9.2067,0.97664
9.3078,0.93914
9.4088,0.88618
9.5099,0.81974
9.6109,0.74375
9.712,0.66086
9.813,0.57533
9.9141,0.49046
10.0151,0.40921
10.1162,0.33421
10.2173,0.26678
10.3183,0.20855
10.4194,0.15921
10.5204,0.11875
10.6215,0.08684
10.7225,0.06184
