y,density
1.7503,0.00026
1.8112,0.00052
1.872,0.00092
1.9329,0.00157
1.9937,0.00249
2.0546,0.00366
2.1154,0.00471
2.1763,0.0051
2.2372,0.00445
2.298,0.00327
2.3589,0.00196
2.4197,0.00105
2.4806,0.00092
2.5414,0.00131
2.6023,0.00222
2.6632,0.00314
2.724,0.00366
2.7849,0.0034
2.8457,0.00275
2.9066,0.00196
2.9675,0.00157
3.0283,0.0017
3.0892,0.00236
3.15,0.00288
3.2109,0.00314
3.2717,0.00314
3.3326,0.00314
3.3935,0.0034
3.4543,0.00432
3.5152,0.00537
3.576,0.00615
3.6369,0.00641
3.6977,0.00641
3.7586,0.00641
3.8195,0.0068
3.8803,0.00772
3.9412,0.00916
4.002,0.01047
4.0629,0.01152
4.1237,0.01204
4.1846,0.01217
4.2455,0.01243
4.3063,0.01322
4.3672,0.01479
4.428,0.01688
4.4889,0.01897
4.5497,0.02133
4.6106,0.02408
4.6715,0.02735
4.7323,0.03088
4.7932,0.03468
4.854,0.03847
4.9149,0.04279
4.9757,0.04737
5.0366,0.05221
5.0975,0.0581
5.1583,0.06674
5.2192,0.07943
5.28,0.09618
5.3409,0.11541
5.4018,0.13413
5.4626,0.15114
5.5235,0.1675
5.5843,0.1849
5.6452,0.20348
5.706,0.22232
5.7669,0.24051
5.8278,0.25766
5.8886,0.27427
5.9495,0.29142
6.0103,0.31131
6.0712,0.33604
6.132,0.3664
6.1929,0.40094
6.2538,0.43667
6.3146,0.47134
6.3755,0.5055
6.4363,0.54279
6.4972,0.5882
6.558,0.64499
6.6189,0.71251
6.6798,0.7871
6.7406,0.86247
6.8015,0.9296
6.8623,0.97828
6.9232,1.0
6.984,0.99267
7.0449,0.96362
7.1058,0.92711
7.1666,0.89754
7.2275,0.87896
7.2883,0.8537
7.3492,0.78828
7.41,0.65912
7.4709,0.48011
7.5318,0.29665
7.5926,0.1531
7.6535,0.0653
7.7143,0.02303
7.7752,0.00667
