y,density
7.0637,0.00022
7.0864,0.0004
7.109,0.00067
7.1317,0.00103
7.1543,0.00147
7.177,0.00192
7.1996,0.00241
7.2223,0.00299
7.2449,0.00371
7.2676,0.00456
7.2903,0.00554
7.3129,0.00648
7.3356,0.00724
7.3582,0.00769
7.3809,0.00786
7.4035,0.00782
7.4262,0.00769
7.4489,0.00769
7.4715,0.00795
7.4942,0.00853
7.5168,0.00916
7.5395,0.00947
7.5621,0.00938
7.5848,0.00898
7.6075,0.00876
7.6301,0.0092
7.6528,0.01041
7.6754,0.01233
7.6981,0.01461
7.7207,0.01693
7.7434,0.01912
7.766,0.02096
7.7887,0.02239
7.8114,0.0235
7.834,0.02453
7.8567,0.02556
7.8793,0.02632
7.902,0.02663
7.9246,0.02645
7.9473,0.02614
7.97,0.02614
7.9926,0.02672
8.0153,0.02806
8.0379,0.0307
8.0606,0.03579
8.0832,0.04491
8.1059,0.05916
8.1286,0.07851
8.1512,0.10125
8.1739,0.12444
8.1965,0.14473
8.2192,0.1592
8.2418,0.16653
8.2645,0.16747
8.2872,0.16506
8.3098,0.16305
8.3325,0.16439
8.3551,0.16979
8.3778,0.17788
8.4004,0.18651
8.4231,0.19468
8.4457,0.20317
8.4684,0.2139
8.4911,0.22846
8.5137,0.2471
8.5364,0.26899
8.559,0.29334
8.5817,0.32033
8.6043,0.35085
8.627,0.38534
8.6497,0.4223
8.6723,0.45795
8.695,0.48744
8.7176,0.50764
8.7403,0.5206
8.7629,0.53454
8.7856,0.56157
8.8083,0.61162
8.8309,0.68628
8.8536,0.77708
8.8762,0.86877
8.8989,0.94495
8.9215,0.99196
8.9442,1.0
8.9669,0.9639
8.9895,0.88378
9.0122,0.76577
9.0348,0.62189
9.0575,0.46912
9.0801,0.32596
9.1028,0.20755
9.1254,0.12131
9.1481,0.06586
9.1708,0.03409
9.1934,0.01747
9.2161,0.00907
9.2387,0.00478
9.2614,0.00246
9.284,0.00121
9.3067,0.00058
